,,,,,,,,,,,,,,,比例名簿順,把握
なかたに しんいち,454,山梨1区,,,中谷,真一,なかたに,しんいち,41,自民,公明,前,2,比例,,
なかじま かつひと,455,山梨1区,,,中島,克仁,なかじま,かつひと,50,無所,,前,2,,,
いげた まこと,456,山梨2区,,,井桁,亮,いげた,まこと,48,希望,,新,0,比例,,
ながさき こうたろう,457,山梨2区,,,長崎,幸太郎,ながさき,こうたろう,49,無所,,前,3,,,
おおくぼ れいこ,458,山梨2区,,,大久保,令子,おおくぼ,れいこ,67,共産,,新,0,,,
ほりうち のりこ,459,山梨2区,,,堀内,詔子,ほりうち,のりこ,51,無所,自民/公明,前,2,,,
こばやし ひろゆき,460,山梨2区,,,小林,弘幸,こばやし,ひろゆき,45,立憲,,新,0,比例,,
こまつ ゆたか,461,長野1区,,,小松,裕,こまつ,ゆたか,55,自民,公明,前,2,比例,,
しのはら たかし,462,長野1区,,,篠原,孝,しのはら,たかし,69,無所,社民,前,5,,,
はしもと まさゆき,463,長野1区,,,橋本,将之,はしもと,まさゆき,37,維新,,新,0,比例,,
こまむら ゆきなり,464,長野1区,,,駒村,幸成,こまむら,ゆきなり,61,諸派,,新,0,,,
てづか だいすけ,465,長野2区,,,手塚,大輔,てづか,だいすけ,34,維新,,新,0,比例,,
しもじょう みつ,466,長野2区,,,下条,みつ,しもじょう,みつ,61,希望,,元,3,比例,,
なかがわ ひろじ,467,長野2区,,,中川,博司,なかがわ,ひろじ,59,社民,,新,0,比例,,
むたい しゅんすけ,468,長野2区,,,務台,俊介,むたい,しゅんすけ,61,自民,公明,前,2,比例,,
きうち ひとし,469,長野3区,,,木内,均,きうち,ひとし,53,自民,公明,前,2,比例,,
こがねざわ ゆか,470,長野3区,,,小金沢,由佳,こがねざわ,ゆか,34,共産,,新,0,,,
いで ようせい,471,長野3区,,,井出,庸生,いで,ようせい,39,希望,,前,2,比例,,
おいかわ ゆきひさ,472,長野3区,,,及川,幸久,おいかわ,ゆきひさ,57,諸派,,新,0,,,
てらしま よしゆき,473,長野4区,,,寺島,義幸,てらしま,よしゆき,64,希望,,元,1,比例,,
もうり えいこ,474,長野4区,,,毛利,栄子,もうり,えいこ,66,共産,,新,0,,,
ごとう しげゆき,475,長野4区,,,後藤,茂之,ごとう,しげゆき,61,自民,公明,前,5,比例,,
そが いつろう,476,長野5区,,,曽我,逸郎,そが,いつろう,61,無所,共産/社民,新,0,,,
なかじま こうすけ,477,長野5区,,,中嶋,康介,なかじま,こうすけ,40,希望,,新,0,比例,,
みやした いちろう,478,長野5区,,,宮下,一郎,みやした,いちろう,59,自民,公明,前,4,比例,,
のはら のりこ,479,岐阜1区,,,野原,典子,のはら,のりこ,60,諸派,,新,0,,,
よしだ りえ,480,岐阜1区,,,吉田,里江,よしだ,りえ,51,無所,,新,0,,,
のだ せいこ,481,岐阜1区,,,野田,聖子,のだ,せいこ,57,自民,公明,前,8,比例,,
はっとり たいすけ,482,岐阜1区,,,服部,泰輔,はっとり,たいすけ,36,無所,,新,0,,,
もりざくら ふさよし,483,岐阜2区,,,森桜,房義,もりざくら,ふさよし,60,共産,,新,0,,,
たなはし やすふみ,484,岐阜2区,,,棚橋,泰文,たなはし,やすふみ,54,自民,公明,前,7,比例,,
むとう ようじ,485,岐阜3区,,,武藤,容治,むとう,ようじ,62,自民,公明,前,3,比例,,
いのうえ さとし,486,岐阜3区,,,井上,諭,いのうえ,さとし,50,共産,,新,0,,,
さかぐち なおと,487,岐阜3区,,,阪口,直人,さかぐち,なおと,54,希望,,元,2,比例,,
いまい まさと,488,岐阜4区,,,今井,雅人,いまい,まさと,55,希望,,前,3,比例,,
こみやま えみこ,489,岐阜4区,,,籠山,恵美子,こみやま,えみこ,63,共産,,新,0,,,
かねこ しゅんぺい,490,岐阜4区,,,金子,俊平,かねこ,しゅんぺい,39,自民,公明,新,0,比例,,
あちは よしのぶ,491,岐阜5区,,,阿知波,吉信,あちは,よしのぶ,54,希望,,元,1,比例,,
おぜき しょうこ,492,岐阜5区,,,小関,祥子,おぜき,しょうこ,64,共産,,新,0,,,
ふるや けいじ,493,岐阜5区,,,古屋,圭司,ふるや,けいじ,64,自民,公明,前,9,比例,,
かみかわ ようこ,494,静岡1区,,,上川,陽子,かみかわ,ようこ,64,自民,公明,前,5,比例,,
あおやま まさゆき,495,静岡1区,,,青山,雅幸,あおやま,まさゆき,55,立憲,社民,新,0,比例,,
こいけ まさなり,496,静岡1区,,,小池,政就,こいけ,まさなり,43,希望,,元,1,比例,,
すずき ちか,497,静岡1区,,,鈴木,千佳,すずき,ちか,46,共産,,新,0,,,
いばやし たつのり,498,静岡2区,,,井林,辰憲,いばやし,たつのり,41,自民,公明,前,2,比例,,
まつお つとむ,499,静岡2区,,,松尾,勉,まつお,つとむ,33,希望,,新,0,比例,,
よつや めぐみ,500,静岡2区,,,四ツ谷,恵,よつや,めぐみ,65,共産,,新,0,,,
すずき のぞむ,501,静岡3区,,,鈴木,望,すずき,のぞむ,68,希望,,元,1,比例,,
みやざわ ひろゆき,502,静岡3区,,,宮沢,博行,みやざわ,ひろゆき,42,自民,公明,前,2,比例,,
こやま のぶひろ,503,静岡3区,,,小山,展弘,こやま,のぶひろ,41,無所,,前,2,,,
まつばら さとし,504,静岡4区,,,松原,聡,まつばら,さとし,55,共産,,新,0,,,
たなか けん,505,静岡4区,,,田中,健,たなか,けん,40,希望,,新,0,比例,,
もちづき よしお,506,静岡4区,,,望月,義夫,もちづき,よしお,70,自民,公明,前,7,比例,,
よしかわ たける,507,静岡5区,,,吉川,赳,よしかわ,たける,35,自民,公明,元,1,比例,,
いぐち まさひこ,508,静岡5区,,,井口,昌彦,いぐち,まさひこ,63,共産,,新,0,,,
ほその ごうし,509,静岡5区,,,細野,豪志,ほその,ごうし,46,希望,,前,6,,,
うちだ ゆたか,510,静岡6区,,,内田,豊,うちだ,ゆたか,63,共産,,新,0,,,
かつまた たかあき,511,静岡6区,,,勝俣,孝明,かつまた,たかあき,41,自民,公明,前,2,比例,,
わたなべ しゅう,512,静岡6区,,,渡辺,周,わたなべ,しゅう,55,希望,,前,7,比例,,
きうち みのる,513,静岡7区,,,城内,実,きうち,みのる,52,自民,公明,前,4,比例,,
ひよし ゆうた,514,静岡7区,,,日吉,雄太,ひよし,ゆうた,49,立憲,,新,0,比例,,
のざわ まさじ,515,静岡7区,,,野沢,正司,のざわ,まさじ,68,共産,,新,0,,,
ふくむら たかし,516,静岡7区,,,福村,隆,ふくむら,たかし,54,希望,,新,0,比例,,
げんま けんたろう,517,静岡8区,,,源馬,謙太郎,げんま,けんたろう,44,希望,,新,0,比例,,
しおのや りゅう,518,静岡8区,,,塩谷,立,しおのや,りゅう,67,自民,公明,前,8,比例,,
しまだ はつえ,519,静岡8区,,,嶋田,初江,しまだ,はつえ,69,共産,,新,0,,,
よしだ つねひこ,520,愛知1区,,,吉田,統彦,よしだ,つねひこ,42,立憲,,元,1,比例,,
さとう ゆうこ,521,愛知1区,,,佐藤,夕子,さとう,ゆうこ,54,希望,,元,1,比例,,
くまだ ひろみち,522,愛知1区,,,熊田,裕通,くまだ,ひろみち,53,自民,公明,前,2,比例,,
ふるかわ もとひさ,523,愛知2区,,,古川,元久,ふるかわ,もとひさ,51,希望,,前,7,比例,,
たばた つよし,524,愛知2区,,,田畑,毅,たばた,つよし,45,自民,公明,前,2,比例,,
さかい けんたろう,525,愛知2区,,,酒井,健太朗,さかい,けんたろう,31,共産,,新,0,,,
こんどう しょういち,526,愛知3区,,,近藤,昭一,こんどう,しょういち,59,立憲,,前,7,比例,,
よご さやか,527,愛知3区,,,余語,冴耶香,よご,さやか,39,希望,,新,0,比例,,
いけだ よしたか,528,愛知3区,,,池田,佳隆,いけだ,よしたか,51,自民,公明,前,2,比例,,
にしだ としこ,529,愛知4区,,,西田,敏子,にしだ,としこ,63,共産,,新,0,,,
まき よしお,530,愛知4区,,,牧,義夫,まき,よしお,59,希望,,前,5,比例,,
くどう しょうぞう,531,愛知4区,,,工藤,彰三,くどう,しょうぞう,52,自民,公明,前,2,比例,,
ののべ なおあき,532,愛知5区,,,野々部,尚昭,ののべ,なおあき,47,希望,,新,0,比例,,
あかまつ ひろたか,533,愛知5区,,,赤松,広隆,あかまつ,ひろたか,69,立憲,,前,9,比例,,
かんだ けんじ,534,愛知5区,,,神田,憲次,かんだ,けんじ,54,自民,,前,2,比例,,
もりもと かずよし,535,愛知6区,,,森本,和義,もりもと,かずよし,51,希望,,元,1,比例,,
にわ ひでき,536,愛知6区,,,丹羽,秀樹,にわ,ひでき,44,自民,公明,前,4,比例,,
ひらやま りょうへい,537,愛知6区,,,平山,良平,ひらやま,りょうへい,69,社民,,新,0,比例,,
たがみ みつのり,538,愛知6区,,,田上,光徳,たがみ,みつのり,66,共産,,新,0,,,
やまお しおり,539,愛知7区,,,山尾,志桜里,やまお,しおり,43,無所,,前,2,,,
すずき じゅんじ,540,愛知7区,,,鈴木,淳司,すずき,じゅんじ,59,自民,公明,前,4,比例,,
ながとも ただひろ,541,愛知8区,,,長友,忠弘,ながとも,ただひろ,58,共産,,新,0,,,
ばんの ゆたか,542,愛知8区,,,伴野,豊,ばんの,ゆたか,56,無所,,前,5,,,
いとう ただひこ,543,愛知8区,,,伊藤,忠彦,いとう,ただひこ,53,自民,公明,前,3,比例,,
ながさか やすまさ,544,愛知9区,,,長坂,康正,ながさか,やすまさ,60,自民,公明,前,2,比例,,
わたなべ ひろし,545,愛知9区,,,渡辺,裕,わたなべ,ひろし,37,共産,,新,0,,,
おかもと みつのり,546,愛知9区,,,岡本,充功,おかもと,みつのり,46,希望,,前,4,比例,,
すぎもと かずみ,547,愛知10区,,,杉本,和巳,すぎもと,かずみ,57,維新,,元,2,比例,,
いたくら まさふみ,548,愛知10区,,,板倉,正文,いたくら,まさふみ,59,共産,,新,0,,,
えさき てつま,549,愛知10区,,,江崎,鉄磨,えさき,てつま,74,自民,公明,前,6,,,
やすい みさこ,550,愛知10区,,,安井,美沙子,やすい,みさこ,52,希望,,新,0,比例,,
ほんだ のぶひろ,551,愛知11区,,,本多,信弘,ほんだ,のぶひろ,41,共産,,新,0,,,
ふるもと しんいちろう,552,愛知11区,,,古本,伸一郎,ふるもと,しんいちろう,52,希望,,前,5,比例,,
やぎ てつや,553,愛知11区,,,八木,哲也,やぎ,てつや,70,自民,公明,前,2,比例,,
しげとく かずひこ,554,愛知12区,,,重徳,和彦,しげとく,かずひこ,46,無所,,前,2,,,
みやち いさお,555,愛知12区,,,宮地,勲,みやち,いさお,63,共産,,新,0,,,
あおやま しゅうへい,556,愛知12区,,,青山,周平,あおやま,しゅうへい,40,自民,公明,前,2,比例,,
おおにし けんすけ,557,愛知13区,,,大西,健介,おおにし,けんすけ,46,希望,,前,3,比例,,
おおみ せい,558,愛知13区,,,大見,正,おおみ,せい,59,自民,,前,2,比例,,
しもじま りょういち,559,愛知13区,,,下島,良一,しもじま,りょういち,71,共産,,新,0,,,
きんぱら のぶゆき,560,愛知14区,,,金原,信之,きんぱら,のぶゆき,57,共産,,新,0,,,
いまえだ そういちろう,561,愛知14区,,,今枝,宗一郎,いまえだ,そういちろう,33,自民,公明,前,2,比例,,
たなか かつのり,562,愛知14区,,,田中,克典,たなか,かつのり,43,希望,,新,0,比例,,
ねもと ゆきのり,563,愛知15区,,,根本,幸典,ねもと,ゆきのり,52,自民,公明,前,2,比例,,
せき けんいちろう,564,愛知15区,,,関,健一郎,せき,けんいちろう,39,希望,,新,0,比例,,
のざわ やすゆき,565,愛知15区,,,野沢,康幸,のざわ,やすゆき,29,共産,,新,0,,,
まつだ なおひさ,566,三重1区,,,松田,直久,まつだ,なおひさ,63,無所,,前,1,,,
たむら のりひさ,567,三重1区,,,田村,憲久,たむら,のりひさ,52,自民,公明,前,7,比例,,
なかがわ まさはる,568,三重2区,,,中川,正春,なかがわ,まさはる,67,無所,,前,7,,,
かわさき じろう,569,三重2区,,,川崎,二郎,かわさき,じろう,69,自民,公明,前,11,比例,,
さかもと まき,570,三重3区,,,坂本,麻貴,さかもと,まき,33,諸派,,新,0,,,
おかだ かつや,571,三重3区,,,岡田,克也,おかだ,かつや,64,無所,,前,9,,,
のむら まさひろ,572,三重3区,,,野村,真弘,のむら,まさひろ,61,共産,,新,0,,,
しまだ よしかず,573,三重3区,,,島田,佳和,しまだ,よしかず,47,自民,公明,前,2,比例,,
みつや のりお,574,三重4区,,,三ツ矢,憲生,みつや,のりお,66,自民,公明,前,5,,,
たになか みよし,575,三重4区,,,谷中,三好,たになか,みよし,57,共産,,新,0,,,
ふじた だいすけ,576,三重4区,,,藤田,大助,ふじた,だいすけ,41,希望,,元,1,比例,,
こさか よしこ,577,滋賀1区,,,小坂,淑子,こさか,よしこ,77,社民,,新,0,比例,,
おおおか としたか,578,滋賀1区,,,大岡,敏孝,おおおか,としたか,45,自民,公明,前,2,比例,,
かだ ゆきこ,579,滋賀1区,,,嘉田,由紀子,かだ,ゆきこ,67,無所,,新,0,,,
たじま いっせい,580,滋賀2区,,,田島,一成,たじま,いっせい,55,希望,,前,4,比例,,
うえの けんいちろう,581,滋賀2区,,,上野,賢一郎,うえの,けんいちろう,52,自民,公明,前,3,比例,,
あらかわ まさし,582,滋賀2区,,,荒川,雅司,あらかわ,まさし,42,諸派,,新,0,,,
たいげつ じしょう,583,滋賀2区,,,対月,慈照,たいげつ,じしょう,64,無所,,新,0,,,
おがわ やすえ,584,滋賀3区,,,小川,泰江,おがわ,やすえ,54,希望,,新,0,比例,,
いしどう あつし,585,滋賀3区,,,石堂,淳士,いしどう,あつし,43,共産,,新,0,,,
たけむら のぶひで,586,滋賀3区,,,武村,展英,たけむら,のぶひで,45,自民,公明,前,2,比例,,
にしざわ こういち,587,滋賀4区,,,西沢,耕一,にしざわ,こういち,39,共産,,新,0,,,
こてら ひろお,588,滋賀4区,,,小寺,裕雄,こてら,ひろお,57,自民,公明,新,0,比例,,
とくなが ひさし,589,滋賀4区,,,徳永,久志,とくなが,ひさし,54,希望,,新,0,比例,,
いぶき ぶんめい,590,京都1区,,,伊吹,文明,いぶき,ぶんめい,79,自民,公明,前,11,,,
こくた けいじ,591,京都1区,,,穀田,恵二,こくた,けいじ,70,共産,,前,8,比例,,
しまむら せいこ,592,京都1区,,,嶋村,聖子,しまむら,せいこ,40,希望,,新,0,比例,,
ちさか たくあき,593,京都2区,,,地坂,拓晃,ちさか,たくあき,44,共産,,新,0,比例,,
しげもと まもる,594,京都2区,,,繁本,護,しげもと,まもる,44,自民,公明,新,0,比例,,
まえはら せいじ,595,京都2区,,,前原,誠司,まえはら,せいじ,55,無所,,前,8,,,
いずみ けんた,596,京都3区,,,泉,健太,いずみ,けんた,43,希望,,前,6,比例,,
かなもり とおる,597,京都3区,,,金森,亨,かなもり,とおる,61,共産,,新,0,,,
もり なつえ,598,京都3区,,,森,夏枝,もり,なつえ,36,維新,,新,0,比例,,
きむら やよい,599,京都3区,,,木村,弥生,きむら,やよい,52,自民,公明,前,1,比例,,
おだぎり しんいちろう,600,京都3区,,,小田切,新一郎,おだぎり,しんいちろう,71,無所,,新,0,,,
よしだ こういち,601,京都4区,,,吉田,幸一,よしだ,こういち,43,共産,,新,0,,,
きたがみ けいろう,602,京都4区,,,北神,圭朗,きたがみ,けいろう,50,希望,,前,3,比例,,
えんだ ゆき,603,京都4区,,,縁田,有紀,えんだ,ゆき,27,諸派,,新,0,,,
たなか ひでゆき,604,京都4区,,,田中,英之,たなか,ひでゆき,47,自民,公明,前,2,比例,,
いのうえ かずのり,605,京都5区,,,井上,一徳,いのうえ,かずのり,55,希望,,新,0,比例,,
なかやま やすし,606,京都5区,,,中山,泰,なかやま,やすし,57,無所,,新,0,,,
やまうち けん,607,京都5区,,,山内,健,やまうち,けん,49,共産,,新,0,,,
すずき まりこ,608,京都5区,,,鈴木,麻理子,すずき,まりこ,33,無所,,新,0,,,
ほんだ たろう,609,京都5区,,,本田,太郎,ほんだ,たろう,43,自民,公明,新,0,比例,,
やまのい かずのり,610,京都6区,,,山井,和則,やまのい,かずのり,55,希望,,前,6,比例,,
かみじょう りょういち,611,京都6区,,,上條,亮一,かみじょう,りょういち,31,共産,,新,0,,,
あんどう ひろし,612,京都6区,,,安藤,裕,あんどう,ひろし,52,自民,公明,前,2,比例,,
いのうえ ひでたか,613,大阪1区,,,井上,英孝,いのうえ,ひでたか,45,維新,,前,2,比例,,
おおにし ひろゆき,614,大阪1区,,,大西,宏幸,おおにし,ひろゆき,50,自民,公明,前,1,比例,,
こいずみ しゅうへい,615,大阪1区,,,小泉,修平,こいずみ,しゅうへい,70,諸派,,新,0,,,
むらかみ のりあつ,616,大阪1区,,,村上,賀厚,むらかみ,のりあつ,58,立憲,,新,0,比例,,
しばやま のぼる,617,大阪1区,,,柴山,昇,しばやま,のぼる,63,共産,,新,0,,,
おつじ かなこ,618,大阪2区,,,尾辻,かな子,おつじ,かなこ,42,立憲,,新,0,比例,,
しいき たもつ,619,大阪2区,,,椎木,保,しいき,たもつ,51,維新,,前,2,比例,,
さとう あきら,620,大阪2区,,,左藤,章,さとう,あきら,66,自民,公明,前,4,比例,,
わたなべ ゆい,621,大阪3区,,,渡部,結,わたなべ,ゆい,36,共産,,新,0,比例,,
さとう しげき,622,大阪3区,,,佐藤,茂樹,さとう,しげき,58,公明,自民,前,8,,,
ちゅうじょう えいたろう,623,大阪3区,,,中条,栄太郎,ちゅうじょう,えいたろう,48,無所,,新,0,,,
なかやま やすひで,624,大阪4区,,,中山,泰秀,なかやま,やすひで,47,自民,公明,前,4,比例,,
しみず ただし,625,大阪4区,,,清水,忠史,しみず,ただし,49,共産,,前,1,比例,,
みのべ てるお,626,大阪4区,,,美延,映夫,みのべ,てるお,56,維新,,新,0,比例,,
かずもり けいご,627,大阪5区,,,数森,圭吾,かずもり,けいご,38,諸派,,新,0,,,
くにしげ とおる,628,大阪5区,,,国重,徹,くにしげ,とおる,42,公明,自民,前,2,,,
ながお ひでき,629,大阪5区,,,長尾,秀樹,ながお,ひでき,65,立憲,,新,0,比例,,
きたやま りょうぞう,630,大阪5区,,,北山,良三,きたやま,りょうぞう,65,共産,,新,0,,,
むらかみ ふみよし,631,大阪6区,,,村上,史好,むらかみ,ふみよし,65,立憲,,元,2,比例,,
いさ しんいち,632,大阪6区,,,伊佐,進一,いさ,しんいち,42,公明,自民,前,2,,,
おくした たけみつ,633,大阪7区,,,奥下,剛光,おくした,たけみつ,42,維新,,新,0,比例,,
とかしき なおみ,634,大阪7区,,,渡嘉敷,奈緒美,とかしき,なおみ,55,自民,公明,前,3,比例,,
むらぐち くみこ,635,大阪7区,,,村口,久美子,むらぐち,くみこ,45,共産,,新,0,,,
まつい ひろふみ,636,大阪8区,,,松井,博史,まつい,ひろふみ,49,立憲,,新,0,比例,,
おおつか たかし,637,大阪8区,,,大塚,高司,おおつか,たかし,53,自民,公明,前,3,比例,,
きのした ともひこ,638,大阪8区,,,木下,智彦,きのした,ともひこ,48,維新,,前,2,比例,,
あらい まこと,639,大阪8区,,,新居,真,あらい,まこと,57,共産,,新,0,,,
はっとり りょういち,640,大阪9区,,,服部,良一,はっとり,りょういち,67,社民,立憲,元,1,比例,,
あだち やすし,641,大阪9区,,,足立,康史,あだち,やすし,52,維新,,前,2,比例,,
はらだ けんじ,642,大阪9区,,,原田,憲治,はらだ,けんじ,69,自民,公明,前,3,比例,,
つじもと きよみ,643,大阪10区,,,辻元,清美,つじもと,きよみ,57,立憲,,前,6,比例,,
おおくま かずひで,644,大阪10区,,,大隈,和英,おおくま,かずひで,48,自民,公明,前,1,比例,,
まつなみ けんた,645,大阪10区,,,松浪,健太,まつなみ,けんた,46,維新,,前,5,比例,,
ひらの ひろふみ,646,大阪11区,,,平野,博文,ひらの,ひろふみ,68,無所,,前,6,,,
いとう のぶひさ,647,大阪11区,,,伊東,信久,いとう,のぶひさ,53,維新,,前,2,比例,,
さとう ゆかり,648,大阪11区,,,佐藤,ゆかり,さとう,ゆかり,56,自民,公明,前,2,比例,,
ふじた ふみたけ,649,大阪12区,,,藤田,文武,ふじた,ふみたけ,36,維新,,新,0,比例,,
まつお まさのり,650,大阪12区,,,松尾,正利,まつお,まさのり,58,共産,,新,0,,,
きたがわ ともかつ,651,大阪12区,,,北川,知克,きたがわ,ともかつ,65,自民,,前,5,比例,,
にしの こういち,652,大阪13区,,,西野,弘一,にしの,こういち,48,無所,,元,1,,,
むねきよ こういち,653,大阪13区,,,宗清,皇一,むねきよ,こういち,47,自民,公明,前,1,比例,,
ながおか よしかず,654,大阪13区,,,長岡,嘉一,ながおか,よしかず,48,共産,,新,0,,,
あおの よしあき,655,大阪13区,,,青野,剛暁,あおの,よしあき,43,維新,,新,0,比例,,
かん ひでき,656,大阪13区,,,姜,英紀,かん,ひでき,45,立憲,,新,0,比例,,
こまつ ひさし,657,大阪14区,,,小松,久,こまつ,ひさし,60,共産,,新,0,,,
たにはた たかし,658,大阪14区,,,谷畑,孝,たにはた,たかし,70,維新,,前,7,比例,,
ながお たかし,659,大阪14区,,,長尾,敬,ながお,たかし,54,自民,,前,2,比例,,
たけもと なおかず,660,大阪15区,,,竹本,直一,たけもと,なおかず,76,自民,公明,前,7,,,
ため きみひと,661,大阪15区,,,為,仁史,ため,きみひと,68,共産,,新,0,,,
うらの やすと,662,大阪15区,,,浦野,靖人,うらの,やすと,44,維新,,前,2,比例,,
もりやま ひろゆき,663,大阪16区,,,森山,浩行,もりやま,ひろゆき,46,立憲,,元,1,比例,,
きたがわ かずお,664,大阪16区,,,北側,一雄,きたがわ,かずお,64,公明,自民,前,8,,,
おかした しょうへい,665,大阪17区,,,岡下,昌平,おかした,しょうへい,42,自民,公明,前,1,比例,,
ばば のぶゆき,666,大阪17区,,,馬場,伸幸,ばば,のぶゆき,52,維新,,前,2,比例,,
ふじもと さちこ,667,大阪17区,,,藤本,幸子,ふじもと,さちこ,42,共産,,新,0,,,
えんどう たかし,668,大阪18区,,,遠藤,敬,えんどう,たかし,49,維新,,前,2,比例,,
やの ただしげ,669,大阪18区,,,矢野,忠重,やの,ただしげ,67,共産,,新,0,,,
かみたに のぼる,670,大阪18区,,,神谷,昇,かみたに,のぼる,68,自民,公明,前,1,比例,,
たにがわ とむ,671,大阪19区,,,谷川,とむ,たにがわ,とむ,41,自民,公明,前,1,比例,,
まるやま ほだか,672,大阪19区,,,丸山,穂高,まるやま,ほだか,33,維新,,前,2,比例,,
きたむら みき,673,大阪19区,,,北村,みき,きたむら,みき,51,共産,,新,0,,,
りきしげ ともゆき,674,兵庫1区,,,力重,智之,りきしげ,ともゆき,39,共産,,新,0,,,
うめむら さとし,675,兵庫1区,,,梅村,聡,うめむら,さとし,42,維新,,新,0,比例,,
もりやま まさひと,676,兵庫1区,,,盛山,正仁,もりやま,まさひと,63,自民,公明,前,3,比例,,
いさか のぶひこ,677,兵庫1区,,,井坂,信彦,いさか,のぶひこ,43,希望,,前,2,比例,,
ふなかわ じろう,678,兵庫2区,,,舩川,治郎,ふなかわ,じろう,50,無所,,新,0,,,
あかば かずよし,679,兵庫2区,,,赤羽,一嘉,あかば,かずよし,59,公明,自民,前,7,,,
ひらまつ じゅんこ,680,兵庫2区,,,平松,順子,ひらまつ,じゅんこ,68,共産,,新,0,比例,,
ふじたに かえこ,681,兵庫3区,,,冨士谷,香恵子,ふじたに,かえこ,65,共産,,新,0,,,
まつき しゅういちろう,682,兵庫3区,,,松木,秀一郎,まつき,しゅういちろう,33,維新,,新,0,比例,,
せき よしひろ,683,兵庫3区,,,関,芳弘,せき,よしひろ,52,自民,公明,前,3,比例,,
よこはた かずゆき,684,兵庫3区,,,横畑,和幸,よこはた,かずゆき,45,希望,,新,0,比例,,
ふじい ひさゆき,685,兵庫4区,,,藤井,比早之,ふじい,ひさゆき,46,自民,公明,前,2,比例,,
さとう やすき,686,兵庫4区,,,佐藤,泰樹,さとう,やすき,46,無所,,新,0,,,
のぐち たけみつ,687,兵庫4区,,,野口,威光,のぐち,たけみつ,43,希望,,新,0,比例,,
おおすぎ てつお,688,兵庫4区,,,大椙,鉄夫,おおすぎ,てつお,69,共産,,新,0,,,
にしなか たかお,689,兵庫5区,,,西中,孝男,にしなか,たかお,68,共産,,新,0,,,
かじわら やすひろ,690,兵庫5区,,,梶原,康弘,かじわら,やすひろ,61,希望,,元,2,比例,,
たに こういち,691,兵庫5区,,,谷,公一,たに,こういち,65,自民,公明,前,5,比例,,
いくむら なおこ,692,兵庫6区,,,幾村,奈応子,いくむら,なおこ,37,希望,,新,0,比例,,
さくらい しゅう,693,兵庫6区,,,桜井,周,さくらい,しゅう,47,立憲,,新,0,比例,,
いちむら こういちろう,694,兵庫6区,,,市村,浩一郎,いちむら,こういちろう,53,維新,,元,3,比例,,
おおぐし まさき,695,兵庫6区,,,大串,正樹,おおぐし,まさき,51,自民,公明,前,2,比例,,
うえだ さちこ,696,兵庫7区,,,上田,幸子,うえだ,さちこ,69,共産,,新,0,,,
はたなか みつなり,697,兵庫7区,,,畠中,光成,はたなか,みつなり,45,希望,,元,1,比例,,
みき けえ,698,兵庫7区,,,三木,圭恵,みき,けえ,51,維新,,元,1,比例,,
やまだ けんじ,699,兵庫7区,,,山田,賢司,やまだ,けんじ,51,自民,公明,前,2,比例,,
ほりうち てるふみ,700,兵庫8区,,,堀内,照文,ほりうち,てるふみ,44,共産,,前,1,比例,,
なかの ひろまさ,701,兵庫8区,,,中野,洋昌,なかの,ひろまさ,39,公明,自民,前,2,,,
にしむら やすとし,702,兵庫9区,,,西村,康稔,にしむら,やすとし,55,自民,公明,前,5,比例,,
きくち のりゆき,703,兵庫9区,,,菊地,憲之,きくち,のりゆき,61,無所,共産/社民,新,0,,,
かわと やすし,704,兵庫9区,,,川戸,康嗣,かわと,やすし,42,希望,,新,0,比例,,
とかい きさぶろう,705,兵庫10区,,,渡海,紀三朗,とかい,きさぶろう,69,自民,公明,前,8,比例,,
かねだ みねお,706,兵庫10区,,,金田,峰生,かねだ,みねお,52,共産,,新,0,,,
つげ あつひと,707,兵庫10区,,,柘植,厚人,つげ,あつひと,45,希望,,新,0,比例,,
ながやす たかし,708,兵庫11区,,,長安,豊,ながやす,たかし,49,希望,,元,3,比例,,
まつもと たけあき,709,兵庫11区,,,松本,剛明,まつもと,たけあき,58,自民,公明,前,6,比例,,
いなむら さとる,710,兵庫11区,,,稲村,知,いなむら,さとる,57,共産,,新,0,,,
いけはた こうたろう,711,兵庫12区,,,池畑,浩太朗,いけはた,こうたろう,43,希望,,新,0,比例,,
やまぐち つよし,712,兵庫12区,,,山口,壮,やまぐち,つよし,63,自民,公明,前,5,比例,,
ほり ゆずる,713,兵庫12区,,,堀,譲,ほり,ゆずる,67,共産,,新,0,,,
いのうえ よしこ,714,奈良1区,,,井上,良子,いのうえ,よしこ,53,共産,,新,0,比例,,
こばやし しげき,715,奈良1区,,,小林,茂樹,こばやし,しげき,53,自民,,元,1,比例,,
よしの ただお,716,奈良1区,,,吉野,忠男,よしの,ただお,58,維新,,新,0,比例,,
まぶち すみお,717,奈良1区,,,馬淵,澄夫,まぶち,すみお,57,希望,,前,5,比例,,
まつもと まさゆき,718,奈良2区,,,松本,昌之,まつもと,まさゆき,34,希望,,新,0,比例,,
しもとり じゅんいち,719,奈良2区,,,霜鳥,純一,しもとり,じゅんいち,56,共産,,新,0,,,
たかいち さなえ,720,奈良2区,,,高市,早苗,たかいち,さなえ,56,自民,公明,前,7,比例,,
たのせ たいどう,721,奈良3区,,,田野瀬,太道,たのせ,たいどう,43,自民,公明,前,2,比例,,
ところ すすむ,722,奈良3区,,,所,進,ところ,すすむ,38,共産,,新,0,,,
まえかわ きよしげ,723,奈良3区,,,前川,清成,まえかわ,きよしげ,54,希望,,新,0,比例,,
