Wikidata ID,name,,,,name in hiragana,party short name,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),gender,birthday,age(calculated),,image,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,,,,,
Q16264050,石田昌宏,,石田,昌宏,いしだ まさひろ,自民,,,比例,,男性,1967-05-20,50,,,MasahiroIshida,https://www.facebook.com/masahiro.ishida.mike,https://www.facebook.com/masahiro.ishida.seisaku,,,https://web.stagram.com/masahiro_ishida_mike,http://www.masahiro-ishida.com/,,https://ameblo.jp/masahiro-ishida-seisaku/,,,,,,,,,,,,,,,,https://twitter.com/MasahiroIshida,http://www.facebook.com/masahiro.ishida.seisaku,
Q557011,石井正弘,,石井,正弘,いしい まさひろ,自民,,,,岡山,男性,1945-11-29,71,,,-,https://www.facebook.com/masahiro.ishii.3511,https://www.facebook.com/m.ishii.office/,,,,http://ishii-masahiro.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/masahiro.ishii.3511,
Q5361574,佐藤正久,,佐藤,正久,さとう まさひさ,自民,,,比例,,男性,1960-10-23,57,,,SatoMasahisa,https://www.facebook.com/masahisa.sato.775,-,,,,http://www.hige-sato.jp/,,https://ameblo.jp/satomasahisa/,,福島県,,,,,,,,,,,,,,https://twitter.com/SatoMasahisa,http://www.facebook.com/masahisa.sato.775,
Q6140287,大野元裕,,大野,元裕,おおの もとひろ,民進,,,,埼玉,男性,1963-11-12,53,,,oonomotohiro,https://www.facebook.com/motohiro.oono,https://www.facebook.com/oonomotohiro,,,,https://www.oonomotohiro.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/oonomotohiro,https://www.facebook.com/oonomotohiro,http://ameblo.jp/oonomotohiro/
Q11434490,大家敏志,,大家,敏志,おおいえ さとし,自民,,,,福岡,男性,1967-07-17,50,,,-,https://www.facebook.com/oiesatoshi,https://www.facebook.com/ooiesatoshi/,,,,http://oie-satoshi.com/,,,,,,,,,,,,,,,,,,,,http://oie-satoshi.com/
Q6425965,大塚耕平,,大塚,耕平,おおつか こうへい,民進,,,,愛知,男性,1959-10-05,58,,,kouhei1005mon,https://www.facebook.com/people/Kouhei-Ohtsuka/100005621768046,-,,,,https://ohtsuka-kohei.jp/,,,,名古屋市,,,,,,,,,,,,,,https://twitter.com/kouhei1005mon,https://www.facebook.com/people/Kouhei-Ohtsuka/100005621768046,
Q434037,鴻池祥肇,,鴻池,祥肇,こうのいけ よしただ,自民,,,,兵庫,男性,1940-11-28,76,,,ykounoike,https://www.facebook.com/profile.php?id=100000765597477,https://www.facebook.com/y.kounoike/,,,,http://www.kounoike-web.com/,,,,尼崎市,,,,,,,,,,,,,,https://twitter.com/ykounoike,https://www.facebook.com/y.kounoike?ref=hl,
Q17130003,倉林明子,,倉林,明子,くらばやし あきこ,共産,,,,京都,女性,1960-12-03,56,,,kurabayashia,https://www.facebook.com/profile.php?id=100003133686974,https://www.facebook.com/kurabayashi.akiko/,,,,http://kurabayashi-akiko.jp/,,,,西会津町,,,,,,,,,,,,,,https://twitter.com/kurabayashia,https://www.facebook.com/kurabayashi.akiko,
Q11500523,斎藤嘉隆,,斎藤,嘉隆,さいとう よしたか,民進,,,,愛知,男性,1963-02-18,54,,,saito_yoshitaka,https://www.facebook.com/profile.php?id=100004563074047,https://www.facebook.com/yoshitaka3110/,,,https://www.instagram.com/saito_yoshitaka3110/,http://saitoyoshitaka.com/,,,,,,,,,,,,,,,,,,https://twitter.com/saito_yoshitaka,https://www.facebook.com/profile.php?id=100004563074047&fref=ts,http://saitoyoshitaka.com/
Q11463616,小西洋之,,小西,洋之,こにし ひろゆき,民進,,,,千葉,男性,1972-01-28,45,,,konishihiroyuki,https://www.facebook.com/profile.php?id=100010283766947,https://www.facebook.com/sangiin.hiroyukikonishi/,,,,http://konishi-hiroyuki.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/konishihiroyuki,https://www.facebook.com/sangiin.hiroyukikonishi/,http://konishi-hiroyuki.jp/
Q1502275,金子原二郎,,金子,原二郎,かねこ げんじろう,自民,,,,長崎,男性,1944-05-08,73,,,-,https://www.facebook.com/profile.php?id=100011054679370,https://www.facebook.com/%E9%87%91%E5%AD%90%E5%8E%9F%E4%BA%8C%E9%83%8E-721578167945808/,,,,http://www.kaneko-genjiro.jp/,,,,生月町,,,,,,,,,,,,,,,,http://www.kaneko-genjiro.jp
Q17130344,上月良祐,,上月,良祐,こうづき りょうすけ,自民,,,,茨城,男性,1962-12-26,54,,,-,https://www.facebook.com/ryosuke.kozuki.3,-,,,,http://www.kouzuki-r.com/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/ryosuke.kozuki.3,
Q3041876,川田龍平,,川田,龍平,かわだ りゅうへい,民進,,,比例,,男性,1976-01-12,41,,,KawadaOffice,https://www.facebook.com/ryuhei.kawada.1,https://www.facebook.com/ryuheikawada,,,,http://ryuheikawada.jp/,,,,東京都,,,,,,,,,,,,,,https://twitter.com/kawadaoffice,http://www.facebook.com/ryuheikawada,
Q7426488,片山さつき,,片山,さつき,かたやま さつき,自民,,,比例,,女性,1959-05-09,58,,,katayama_s,https://www.facebook.com/satsuki.katayama,https://www.facebook.com/satsukikatayama.fanpage,,,,http://www.satsuki-katayama.com/,,http://satsuki-katayama.livedoor.biz/,,,,,,,,,,,,,,,,https://twitter.com/katayama_s,https://www.facebook.com/satsukikatayama.fanpage,http://www.satsuki-katayama.com
Q525406,市田忠義,,市田,忠義,いちだ ただよし,共産,,,比例,,男性,1942-12-28,74,,,ichida_t,https://www.facebook.com/tadayoshi.ichida,-,,,,https://www.t-ichida.gr.jp/,,,,大阪市,,,,,,,,,,,,,,,,http://www.t-ichida.gr.jp/
Q26043802,こやり隆史,小鑓隆史,こやり,隆史,こやり たかし,自民,,,,滋賀,男性,1966-09-09,51,,,koyari_shiga,https://www.facebook.com/takashi.koyari,https://www.facebook.com/koyaritakashi,,,,http://www.koyaritakashi.net/,,,,,,,,,,,,,,,,,,,,
Q7464183,宇都隆史,,宇都,隆史,うと たかし,自民,,,比例,,男性,1974-11-12,42,,,takashiuto,https://www.facebook.com/takashi.uto.1,-,,,,http://www.utotakashi.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/うとたかし事務所生まれ変わるならまた日本がいい-541895205965316/,http://www.utotakashi.jp
Q16264294,井原巧,,井原,巧,いはら たくみ,自民,,,,愛媛,男性,1963-11-13,53,,,takunori38111,https://www.facebook.com/takumi.ihara.9,https://www.facebook.com/Ihara.Takumi.Office/,,,,https://www.ihara-takumi.com/,,,,,,,,,,,,,,,,,,,http://www.facebook.com/takumi.ihara.9,
Q7820158,紙智子,内山智子,紙,智子,かみ ともこ,共産,,,比例,,女性,1955-01-13,62,,,kamitomoko,https://www.facebook.com/tomoko.kami.5,-,,,,http://www.kami-tomoko.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/KamiTomoko,https://www.facebook.com/tomoko.kami.5,
Q16263684,東徹,,東,徹,あずま とおる,維新,,,,大阪,男性,1966-09-16,51,,,toru_azuma,https://www.facebook.com/toru.azuma.3,https://www.facebook.com/AzumaToru/,,,,https://www.azuma-toru.com/,,,,,,,,,,,,,,,,,,https://twitter.com/toru_azuma,http://www.facebook.com/AzumaToruNipponISHIN,
Q17685959,石上俊雄,,石上,俊雄,いしがみ としお,民進,,,比例,,男性,1962-01-18,55,,,toshio_ishigami,https://www.facebook.com/toshio.ishigami.3,https://www.facebook.com/ishigamitoshio/,,https://www.youtube.com/user/ishigamitoshio/videos,,http://ishigamitoshio.com/,,,,,,,,,,,,,,,,,,https://twitter.com/toshio_ishigami,http://www.facebook.com/pages/石上としお/366619116698416,
Q17129442,北村経夫,,北村,経夫,きたむら つねお,自民,,,比例,,男性,1955-01-05,62,,,-,https://www.facebook.com/tsuneo.kitamura0105,https://www.facebook.com/kitamuratsuneo/,,,,https://www.kitamura-tsuneo.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/tsuneo.kitamura0105,
Q11439669,大野泰正,,大野,泰正,おおの やすただ,自民,,,,岐阜,男性,1959-05-31,58,,,ohno_yasutada,https://www.facebook.com/yasutada.ohno,https://www.facebook.com/ohno.yasutada/,,,,http://ohno-yasutada.com/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/ohno.yasutada,
Q11587972,磯崎仁彦,,磯崎,仁彦,いそざき よしひこ,自民,,,,香川,男性,1957-09-08,60,,,isozakiyoshi,https://www.facebook.com/yoshihiko.isozaki.1,-,,,,http://www.isozaki-yoshihiko.com/,,,,,,,,,,,,,,,,,,https://twitter.com/isozakiyoshi,https://www.facebook.com/yoshihiko.isozaki.1,http://www.isozaki-yoshihiko.com
Q20041481,河野義博,,河野,義博,かわの よしひろ,公明,,,比例,,男性,1977-12-01,39,,,yoshihirokawano,https://www.facebook.com/yoshihiro.kawano.357,-,,,,http://kawano-yoshihiro.com/,,,,,,,,,,,,,,,,,,https://twitter.com/yoshihirokawano,https://www.facebook.com/yoshihiro.kawano.357,
Q14778194,吉良よし子,吉良佳子,吉良,よし子,きら よしこ,共産,,,,東京,女性,1982-09-14,35,,,kirayoshiko,https://www.facebook.com/yoshiko.kira,https://www.facebook.com/yoshikokira.official,,,,http://kirayoshiko.com/,,,,高知市,,,,,,,,,,,,,,,,
Q11373187,井上義行,,井上,義行,いのうえ よしゆき,自民,,,比例,,男性,1963-03-12,54,,,inoue_yoshiyuki,https://www.facebook.com/yoshiyuki.inoue.31,-,,,,http://www.inoue-yoshiyuki.com/,,,,,,,,,,,,,,,,,,https://twitter.com/inoue_yoshiyuki,http://www.facebook.com/yoshiyuki.inoue.31,
Q11516618,有田芳生,,有田,芳生,ありた よしふ,民進,,,比例,,男性,1952-02-20,65,,,aritayoshifu,https://www.facebook.com/yosihifu.arita,https://www.facebook.com/%E6%9C%89%E7%94%B0%E8%8A%B3%E7%94%9F-%E6%B0%91%E9%80%B2%E5%85%9A%E5%8F%82%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1-931368580317786/,,,,http://www.web-arita.com/,,,,右京区,,,,,,,,,,,,,,https://twitter.com/aritayoshifu,https://www.facebook.com/yosihifu.arita,http://www.web-arita.com
Q11411630,古賀之士,,古賀,之士,こが ゆきひと,民進,,,,福岡,男性,1959-04-09,58,,,-,https://www.facebook.com/yukihito.koga.9,https://www.facebook.com/%E5%8F%A4%E8%B3%80%E4%B9%8B%E5%A3%AB-%E3%81%93%E3%81%8C%E3%82%86%E3%81%8D%E3%81%B2%E3%81%A8-%E5%BE%8C%E6%8F%B4%E4%BC%9A-1682335018713193/,,,,http://k-yukihito.jp/,,,,,,,,,,,,,,,,,,,,http://www.k-yukihito.jp
Q1093223,山本太郎,,山本,太郎,やまもと たろう,希望,,,,東京,男性,1974-11-24,42,,,yamamototaro0,-,https://www.facebook.com/imahahitori,,,,http://www.taro-yamamoto.jp/,,,,宝塚市,,,,,,,,,,,,,,https://twitter.com/yamamototaro0,https://www.facebook.com/imahahitori,
Q6345808,榛葉賀津也,,榛葉,賀津也,しんば かづや,民進,,,,静岡,男性,1967-04-25,50,,,SHIMBA_OFFICE,https://www.facebook.com/kazuya.shimba.7,-,,,,http://www.k-shimba.com/,,,,,,,,,,,,,,,,,,https://twitter.com/SHIMBA_OFFICE,http://www.facebook.com/kazuya.shimba.7?fref=ts,
Q6385310,武見敬三,,武見,敬三,たけみ けいぞう,自民,,,,東京,男性,1951-11-05,65,,,TakemiKeizo,https://www.facebook.com/keizo.takemi,https://www.facebook.com/keizo.takemi.fan,,,,http://www.takemi.net/,,,,東京都,,,,,,,,,,,,,,https://twitter.com/TakemiKeizo,http://www.facebook.com/keizo.takemi.fan,
Q7680979,丸川珠代,大塚珠代,丸川,珠代,まるかわ たまよ,自民,,,,東京,女性,1971-01-19,46,,,marukawatamayo,https://www.facebook.com/marukawatamayo,-,,,,http://www.t-marukawa.jp,,,,神戸市,,,,,,,,,,,,,,https://twitter.com/marukawatamayo,https://www.facebook.com/tamayomarukawa.fanpage,
Q6782407,松山政司,,松山,政司,まつやま まさじ,自民,,,,福岡,男性,1959-01-20,58,,,-,-,https://www.facebook.com/MasaziToAsuwotukuru/,,,https://www.instagram.com/matsuyama_jimusho/,http://matsuyama-masaji.com/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/MasaziToAsuwotukuru,
Q6391370,溝手顕正,,溝手,顕正,みぞて けんせい,自民,,,,広島,男性,1942-09-13,75,,,-,https://www.facebook.com/mizote.jimusho,-,,,,http://mizote.info/,,,,広島市,,,,,,,,,,,,,,https://twitter.com/mizotejimusho,http://www.facebook.com/mizote.jimusho,
Q259722,羽田雄一郎,,羽田,雄一郎,はた ゆういちろう,民進,,,,長野,男性,1967-07-29,50,,,-,https://www.facebook.com/profile.php?id=100005473955524,https://www.facebook.com/nagano.hatayuichiro/,,,,http://www.y-hata.jp/,,,,世田谷区,,,,,,,,,,,,,,,https://www.facebook.com/nagano.hatayuichiro,
Q474554,中川雅治,,中川,雅治,なかがわ まさはる,自民,,,,東京,男性,1947-02-22,70,,,nakagawa_tokyo,-,https://www.facebook.com/nakagawa.masaharu.tokyo/,,,,http://www.nakagawa-masaharu.jp/,,,,東京都,,,,,,,,,,,,,,https://twitter.com/nakagawa_tokyo,https://www.facebook.com/nakagawa.masaharu.tokyo/,http://www.nakagawa-masaharu.jp/
Q465290,村田蓮舫,蓮舫,村田,蓮舫,むらた れんほう,民進,,,,東京,女性,1967-11-28,49,,,renho_office,https://www.facebook.com/renho.sha,https://www.facebook.com/%E8%93%AE%E8%88%AB%E4%BA%8B%E5%8B%99%E6%89%80-362536237192710/,,,,http://renho.jp/,,,,東京都,,,,,,,,,,,,,,,,
Q7500159,西田昌司,,西田,昌司,にしだ しょうじ,自民,,,,京都,男性,1958-09-19,59,,,j_shoujinishida,-,https://www.facebook.com/shoujinishida,,,,http://www.showyou.jp/,,,,京都市,,,,,,,,,,,,,,https://twitter.com/j_shoujinishida,https://www.facebook.com/pages/%E8%A5%BF%E7%94%B0%E6%98%8C%E5%8F%B8%E4%BA%8B%E5%8B%99%E6%89%80/132439966824494,
Q32968,竹谷とし子,菊地とし子,竹谷,とし子,たけや としこ,公明,,,,東京,女性,1969-09-30,48,,,t_takeya,-,https://www.facebook.com/takeyatoshiko/,,,,https://takeya-toshiko.jp/,,,,標津町,,,,,,,,,,,,,,https://twitter.com/t_takeya,https://www.facebook.com/takeyatoshiko/,https://takeya-toshiko.jp/
Q11576938,田村智子,,田村,智子,たむら ともこ,共産,,,比例,,女性,1965-07-04,52,,,tamutomojcp,https://www.facebook.com/tomoko.tamura.5076,https://www.facebook.com/tamura.tomoko.jcp/,,,,http://www.tamura-jcp.info/,,,,小諸市,,,,,,,,,,,,,,https://twitter.com/tamutomojcp,https://www.facebook.com/tamura.tomoko.jcp,http://www.tamura-jcp.info
Q11562654,渡邉美樹,,渡邉,美樹,わたなべ みき,自民,,,比例,,男性,1959-10-05,58,,,watanabe_miki,-,https://www.facebook.com/watanabemiki.official/,,,,https://www.watanabemiki.net/,,,,,,,,,,,,,,,,,,,,
Q7827790,山田俊男,,山田,俊男,やまだ としお,自民,,,比例,,男性,1946-01-01,71,,,-,-,https://www.facebook.com/yamada.toshio.official,,,,https://www.yamada-toshio.jp/,,https://ameblo.jp/toshio-yamada,,,,,,,,,,,,,,,,,http://www.facebook.com/yamada.toshio.official,
Q5771133,山本博司,,山本,博司,やまもと ひろし,公明,,,比例,,男性,1954-12-09,62,,,y_hiroshi_1209,-,https://www.facebook.com/yamamoto.hiroshi.official/,,,,https://www.yamamoto-hiroshi.net/,,,,,,,,,,,,,,,,,,https://twitter.com/y_hiroshi_1209,http://www.facebook.com/hiroshi.yamamoto.75033,
Q8049955,舟山康江,,舟山,康江,ふなやま やすえ,民進,,,,山形,女性,1966-05-26,51,,,-,https://www.facebook.com/yasue.funayama,https://www.facebook.com/funayamayasue/,,,,https://www.y-funayama.jp/,,,,越谷市,,,,,,,,,,,,,,,http://www.facebook.com/yasue.funayama?fref=ts,http://www.y-funayama.jp/
Q7420872,吉川沙織,,吉川,沙織,よしかわ さおり,民進,,,比例,,女性,1976-10-09,41,,,yoshikawasaori,-,https://www.facebook.com/yoshikawasaori2007,,,,https://yoshikawasaori.com/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/yoshikawasaori2007,
Q1141271,林芳正,,林,芳正,はやし よしまさ,自民,,,,山口,男性,1961-01-19,56,,,hayashi09615064,-,https://www.facebook.com/yoshimasa.hayashi.giinz,,,,https://www.yoshimasa.com/,,,,下関市,,,,,,,,,,,,,,https://twitter.com/hayashi09615064,http://www.facebook.com/yoshimasa.hayashi.giinz,
Q11540315,森ゆうこ,森裕子,森,ゆうこ,もり ゆうこ,希望,,,,新潟,女性,1956-04-20,61,,,moriyukogiin,https://www.facebook.com/yuko.mori.75873,-,,,,http://www.mori-yuko.com/,,,,,,,,,,,,,,,,,,https://twitter.com/moriyukogiin,https://www.facebook.com/yuko.mori.75873,http://www.mori-yuko.com/
Q7426404,井上哲士,,井上,哲士,いのうえ さとし,共産,,,比例,,男性,1958-08-08,59,,,21csts,https://www.facebook.com/profile.php?id=100004454311023,-,,,,http://www.inoue-satoshi.com/,,,,山口県,,,,,,,,,,,,,,https://twitter.com/21csts,http://www.facebook.com/people/Satoshi-Inoue/100004454311023,
Q3546202,山東昭子,,山東,昭子,さんとう あきこ,自民,,,比例,,女性,1942-05-11,75,,,-,-,https://www.facebook.com/SantoAkiko/,,,,http://www.akiko310.com/,,,,世田谷区,,,,,,,,,,,,,,,http://www.facebook.com/SantoAkiko,
Q11561189,清水貴之,,清水,貴之,しみず たかゆき,維新,,,,兵庫,男性,1974-06-29,43,,,cotakayuki,https://www.facebook.com/takayuki.shimizu.142,https://www.facebook.com/S.Takayuki/,,,,http://shimizu-takayuki.com/,,,,,,,,,,,,,,,,,,https://twitter.com/CoTakayuki,http://www.facebook.com/S.Takayuki,
Q26043982,自見はなこ,自見英子,自見,はなこ,じみ はなこ,自民,,,比例,,女性,1976-02-15,41,,,-,https://www.facebook.com/jimi.hanako,https://www.facebook.com/hanakojimi/,,,,http://www.jimihanako.jp/,,,,,,,,,,,,,,,,,,,,
Q5770256,芝博一,,芝,博一,しば ひろかず,民進,,,,三重,男性,1950-04-21,67,,,-,-,https://www.facebook.com/shibahirokazu48/,,,,http://www.shiba-hirokazu.com/,,,,名張市,,,,,,,,,,,,,,,,http://www.shiba-hirokazu.com/
Q17159497,島田三郎,,島田,三郎,しまだ さぶろう,自民,,,,島根,男性,1956-07-06,61,,,-,-,https://www.facebook.com/shimada55saburo.page/,,,,https://www.shimada-saburo.jp/,,,,,,,,,,,,,,,,,,,http://www.facebook.com/shimadasaburo55,
Q17159512,島村大,,島村,大,しまむら だい,自民,,,,神奈川,男性,1960-08-11,57,,,shimamuradai,https://www.facebook.com/kanagawa.shimamura,-,,,,https://www.shimamuradai.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/people/Dai-Shimamura/100005367187912,
Q27150761,進藤金日子,,進藤,金日子,しんどう かねひこ,自民,,,比例,,男性,1963-07-07,54,,,-,https://www.facebook.com/profile.php?id=100004379739520,-,,,,http://www.shindo-noson.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/people/Kanehiko-Shindo/100004379739520,http://www.shindo-noson.jp
Q7497773,末松信介,,末松,信介,すえまつ しんすけ,自民,,,,兵庫,男性,1955-12-17,61,,,-,-,-,,,,http://suematsu.org/,,https://ameblo.jp/shinsuke-suematsu/,,神戸市,,,,,,,,,,,,,,,,http://suematsu.org/
Q17159888,杉久武,,杉,久武,すぎ ひさたけ,公明,,,,大阪,男性,1976-01-04,41,,,hisatake_sugi,-,https://www.facebook.com/hisatake.sugi,,,,http://sugi-hisatake.com/,,,,,,,,,,,,,,,,,,https://twitter.com/hisatake_sugi,https://www.facebook.com/hisatake.sugi,
Q11521820,杉尾秀哉,,杉尾,秀哉,すぎお ひでや,民進,,,,長野,男性,1957-09-30,60,,,-,https://www.facebook.com/sugio930,https://www.facebook.com/sugiohideya/,,,,http://sugio.club/,,,,,,,,,,,,,,,,,,https://twitter.com/hideya_sugio,https://www.facebook.com/sugiohideya/,http://sugio.club/
Q5771167,世耕弘成,,世耕,弘成,せこう ひろしげ,自民,,,,和歌山,男性,1962-11-09,54,,,SekoHiroshige,-,https://www.facebook.com/Seko.Hiroshige/,,,,https://sekohiroshige.jp/,,,,大阪市,,,,,,,,,,,,,,https://twitter.com/SekoHiroshige,http://www.facebook.com/Seko.Hiroshige,
Q6782441,関口昌一,,関口,昌一,せきぐち まさかず,自民,,,,埼玉,男性,1953-06-04,64,,,sekiguchi0229,https://www.facebook.com/sekiguchimasakazu1104,-,,,,http://sekiguchi-masakazu.com/,,,,皆野町,,,,,,,,,,,,,,https://twitter.com/sekiguchi0229,http://www.facebook.com/sekiguchimasakazu1104,http://sekiguchi-masakazu.com
Q11422821,そのだ修光,園田修光,そのだ,修光,そのだ しゅうこう,自民,,,比例,,男性,1957-03-13,60,,,shuko_sonoda,-,https://www.facebook.com/sonodashuko/,,,,https://sonodashuko.com/,,,,,,,,,,,,,,,,,,,,
Q6782781,田名部匡代,,田名部,匡代,たなぶ まさよ,民進,,,,青森,女性,1969-07-10,48,,,masayo_tanabu,https://www.facebook.com/masayo.tanabu,https://www.facebook.com/tanabumasayo,,,,http://www.masayo.gr.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/masayo.tanabu,http://www.masayo.gr.jp
Q1091221,伊達忠一,,伊達,忠一,だて ちゅういち,無所属,,,,北海道,男性,1939-01-20,78,,,-,-,https://www.facebook.com/datechu.jp,,,,http://www.datechu.jp/,,,,芦別市,,,,,,,,,,,,,,,http://www.facebook.com/datechu.jp,
Q6849902,大門実紀史,,大門,実紀史,だいもん みきし,共産,,,比例,,男性,1956-01-10,61,,,mikishi_daimon1,https://www.facebook.com/mikishi.daimon,https://www.facebook.com/daimonmikishi/,,,,http://www.daimon-mikishi.jp/,,,,京都市,,,,,,,,,,,,,,,https://www.facebook.com/daimonmikishi/,http://www.daimon-mikishi.jp/
Q11673208,高階恵美子,,高階,恵美子,たかがい えみこ,自民,,,比例,,女性,1963-12-21,53,,,TakagaiEmiko,https://www.facebook.com/takagai.mc.emiko,-,,,,http://www.takagai-emiko.net/,,,,,,,,,,,,,,,,,,https://twitter.com/TakagaiEmiko,https://www.facebook.com/takagai.mc.emiko,http://ameblo.jp/takagai-emiko/
Q26044639,高木かおり,高木佳保里,高木,かおり,たかぎ かおり,維新,,,,大阪,女性,1972-10-10,45,,,takagikaori1010,-,https://www.facebook.com/1010kaoritakagi/,,,,http://kaori-takagi.com/,,,,,,,,,,,,,,,,,,,,
Q26045246,高瀬弘美,藤井弘美,高瀬,弘美,たかせ ひろみ,公明,,,,福岡,女性,1981-02-21,36,,,takasehiromi163,-,https://www.facebook.com/takasehiromi/,,,,http://takase-hiromi.com/,,,,,,,,,,,,,,,,,,https://twitter.com/takasehiromi163,https://www.facebook.com/takasehiromi/,http://takase-hiromi.com/
Q17160540,高野光二郎,,高野,光二郎,たかの こうじろう,自民,,,,高知,男性,1974-09-30,43,,,takanokohjiro,https://www.facebook.com/kojiro.takano,https://www.facebook.com/takano.kojiro/,,,,http://www.kohjiro.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/takanokohjiro,http://www.facebook.com/kojiro.takano,
Q11671042,高橋克法,,高橋,克法,たかはし かつのり,自民,,,,栃木,男性,1957-12-07,59,,,-,https://www.facebook.com/profile.php?id=100006233131023,https://www.facebook.com/TakahashiKatsunoriOfficial,,,,https://www.katsunori.info/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/TakahashiKatsunoriOfficial,
Q16294651,滝沢求,,滝沢,求,たきさわ もとめ,自民,,,,青森,男性,1958-10-11,59,,,takisawamotome,https://www.facebook.com/motome.takisawa,-,,,,https://www.takisawamotome.com/,,https://ameblo.jp/motome-takisawa/,,青森県,,,,,,,,,,,,,,https://twitter.com/takisawamotome,https://www.facebook.com/profile.php?id=100005919553418,
Q17160669,滝波宏文,,滝波,宏文,たきなみ ひろふみ,自民,,,,福井,男性,1971-10-20,46,,,-,-,https://www.facebook.com/hirofumi.takinami/,,,,https://www.takinami.info/,,,,,,,,,,,,,,,,,,,http://www.facebook.com/htakinami,
,竹内真二,,竹内,真二,たけうち しんじ,公明,,,比例,,男性,1964-03-19,53,,,-,-,-,,,,-,,,,,,,,,,,,,,,,,,,,
Q26043945,武田良介,,武田,良介,たけだ りょうすけ,共産,,,比例,,男性,1979-08-13,38,,,ryon_t,https://www.facebook.com/ryosuke.takeda.737,-,,,,http://takeda.jcpweb.net/,,,,,,,,,,,,,,,,,,https://twitter.com/ryon_t,http://www.facebook.com/ryosuke.takeda.737,http://takeda.jcpweb.net/
Q17160794,辰巳孝太郎,,辰巳,孝太郎,たつみ こうたろう,共産,,,,大阪,男性,1976-08-21,41,,,kotarotatsumi,-,https://www.facebook.com/tatsumikotaro,,,,http://www.tatsumi-kotaro-jump.com/,,,,,,,,,,,,,,,,,,https://twitter.com/kotarotatsumi,http://www.facebook.com/kotaro.tatsumi.5,
Q6782266,谷合正明,,谷合,正明,たにあい まさあき,公明,,,比例,,男性,1973-04-27,44,,,masaaki_taniai,https://www.facebook.com/masaaki.taniai.5,-,,,,http://www.m-taniai.net/,,,,新座市,,,,,,,,,,,,,,https://twitter.com/masaaki_taniai,https://www.facebook.com/masaaki.taniai.5,http://www.m-taniai.net/
Q11533971,柘植芳文,,柘植,芳文,つげ よしふみ,自民,,,比例,,男性,1945-10-11,72,,,-,-,https://www.facebook.com/%E6%9F%98%E6%A4%8D%E8%8A%B3%E6%96%87%E5%BE%8C%E6%8F%B4%E4%BC%9A-845394192253586/,,,,https://www.tuge-yoshifumi.jp/,,,,,,,,,,,,,,,,,,,,
Q5986305,塚田一郎,,塚田,一郎,つかだ いちろう,自民,,,,新潟,男性,1963-12-27,53,,,-,https://www.facebook.com/t.ichiro.niigata,-,,,,https://www.t-ichiro.net/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/t.ichiro.niigata,
Q8062688,鶴保庸介,,鶴保,庸介,つるほ ようすけ,自民,,,,和歌山,男性,1967-02-05,50,,,tsuruhoyosuke,https://www.facebook.com/tsuruho,https://www.facebook.com/jimusyo.tsuruhoyousuke/,,,,http://www.tsuruho.com/,,,,大阪市,,,,,,,,,,,,,,,https://www.facebook.com/tsuruho,http://www.tsuruho.com/
Q17161616,堂故茂,,堂故,茂,どうこ しげる,自民,,,,富山,男性,1952-08-07,65,,,-,https://www.facebook.com/shigeru.doko,-,,,,https://www.douko-shigeru.com/,,,,,,,,,,,,,,,,,,,,
Q27150445,徳茂雅之,,徳茂,雅之,とくしげ まさゆき,自民,,,比例,,男性,1962-05-02,55,,,-,-,-,,,,http://tokushige-m.jp/,,,,,,,,,,,,,,,,,,,,http://tokushige-m.jp/
Q11633992,豊田俊郎,,豊田,俊郎,とよだ としろう,自民,,,,千葉,男性,1952-08-21,65,,,toyodatoshiro,-,https://www.facebook.com/toyodatoshiro,,,,https://toyodatoshiro.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/toyodatoshiro,http://www.facebook.com/toyodatoshiro,
Q6782788,那谷屋正義,,那谷屋,正義,なたにや まさよし,民進,,,比例,,男性,1957-08-03,60,,,NataniyaMasayos,-,https://www.facebook.com/NataniyaMasayoshi,,,,http://nataniya.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/NataniyaMasayos,https://www.facebook.com/NataniyaMasayoshi,http://nataniya.jp/
